example_id,query,query_id,product_id,product_locale,esci_label,small_version,large_version,split,product_title,product_description,product_bullet_point,product_brand,product_color
17,!awnmower tires without rims,1,B08L3B9B9P,us,E,1,1,train,"MaxAuto 2-Pack 13x5.00-6 2PLY Turf Mower Tractor Tire with Yellow Rim, (3"" Centered Hub, 3/4"" Bushings )","MaxAuto 2-Pack 13x5.00-6 2PLY Turf Mower Tractor Tire with Yellow Rim, 3"" Centered Hub, 3/4"" Bearings<br>","Please check your existing tire Sidewall for tire, hub and Bushing size to ensure proper replacement fit.
3"" Centered Hub(two sides symmetrical);3/4"" Bushings;300 lb load capacity.
Tire size:13x5.00-6;Tire Type:Pneumatic Tires;Tire Diameter inch:13.09"";Tire Width inch:4.56"";Load Capacity:300lbs
Rim Diameter:6"";Bearing size:3/4"";Hub Length:3"" Centered Hub with grease fitting
Popular Applications：Wheelbarrows,Garden carts,Hand trucks,Pressure washers,Generators,Air compressors,Lawn mower and other types of outdoor power equipment.",MaxAuto,
20,!awnmower tires without rims,1,B07C1WZG12,us,E,1,1,train,"(Set of 2) 15x6.00-6 Husqvarna/Poulan Tire Wheel Assy .75"" Bearing",No fuss. Just take off your old assembly and replace with this. No need for tubes or tire shops. No messing around with mounting these yourself. Perfect replacement for your machine. Will make your machine look and feel new. **** .75 precision ball bearings ****.,"Tire size:15x6.00-6 Ply: 4 Tubeless
6x4.5 Wheel with 3/4"" Precision bearings; Hub is 3"" Long with .75"" precision ball bearings. No grease required. Color: Husqvarna Silver
Husqvarna wheel number: 532106732 replaces 106732x645, 106732x643, 106732x417, 532141446, 532138336, 5321383-36 532125102; Husqvarna tire number 5321122073
ATW-001
Tire OD: 14.96; Tire SW: 6.3; PSI: 30; Max Load: 570 lbs.",Antego Tire & Wheel,Husqvarna Silver
21,!awnmower tires without rims,1,B077QMNXTS,us,E,1,1,train,"MaxAuto 2 Pcs 16x6.50-8 Lawn Mower Tire for Garden Tractors Ridings, 4PR, Tubeless","<br>Tire Specifications:<br> 1. Material: Rubber<br> 2. Tire Size: 16X6.50-8<br> 3. Load Range: Max. 620lbs@28psi<br> 4. Tire Type: Tubeless<br> 5. Rim Width: 5.375""<br> 6. SW: 165mm / 6.50""<br> 7. OD: 410mm / 16.14""<br> 8. Rating: 4 PLY<br> 9. Tread Depth: 7.1mm/ 0.28""<br> 10. Pattern: P332<br> <br>Feature:<br> 1. Tires ONLY, rims not included<br> 2. Easy to install and easy to use<br> 3. Act as a spare or replacement of the broken one<br> 4. A perfect combination of premium rubber material and sophisticated workmanship<br> 5. Turf Tech tread is made to give you better traction on grassy surfaces, especially on hills where the potential for slippage exists, without causing harm to the turf itself.<br> 6. This tire is a popular replacement for many kind of lawn mower tires, riding lawn mower tires, lawn tractor tires, garden tractor tires, garden tractor pulling tires, and more.<br><br>Package Includes:<br> 2 x Lawn & Garden Tires","Set of 2 16X6.50-8, 16x6.50x8, 16-6.50-8 Lawn Garden Mower Tractor Tire
Type: Tubeless; 4 Ply; Tire only - Wheel not included
Turf Tech tread is made to give you better traction on grassy surfaces, especially on hills where the potential for slippage exists, without causing harm to the turf itself.
This tire is a popular replacement for many kind of lawn mower tires, riding lawn mower tires, lawn tractor tires, garden tractor tires, garden tractor pulling tires, and more.
Prior to purchase, please check the size of the original tire on your vehicle to ensure the size of the tire to be purchased is correct.",MaxAuto,Black
23,!awnmower tires without rims,1,B06XX6BM2R,us,E,1,1,train,"MARASTAR 21446-2PK 15x6.00-6"" Front Tire Assembly Replacement-Craftsman Mower, Pack of 2",,"Tire: 2 pack 15x6. 00-6 tube-type turf SAVER tread - pneumatic 4 Ply rating
Wheels: Solid dark gray steel, 3"" Centered hub, 3/4"" Sintered iron bushings
Load capacity/speed: 400 lbs. / not for highway speeds
Use: replacement for Craftsman riding mowers with front tire size 15x6. 00-6
Low hassle, low cost solution to repairing or replacing your Craftsman riding Mower tires",MARASTAR,
26,!awnmower tires without rims,1,B0089RNSNM,us,E,1,1,train,Honda 42710-VE2-M02ZE (Replaces 42710-VE2-M01ZE) Lawn Mower Rear Wheel Set of 2,Honda 42710-VE2-M02ZE (Replaces 42710-VE2-M01ZE AND 42710-VG3-B00) Lawn Mower Rear Wheel Set of 2,"Set of 2 Honda OEM Rear Wheels
Replaces 42710-VE2-M01ZE and 42710-VG3-B00
8 inch in diameter
Fits: HRB216 HXA, HRB216 HXAA, HRB216 TDA, HRB216 TDAA, HRB216 TXA, HRB216 TXAA, HRB217 HXA, HRB217 TDA, HRR216 S3DA, HRR216 SDA, HRR216K2 SDAA, HRR216K2 TDAA, HRR216K2 TKAA, HRR216K3 TDA, HRR216K4 TDA, HRS216 SDA, HRS216K1 SDA, HRS216K1 SDAA, HRS216K2 SDAA, HRS216K3 SDAA, HRT216 S3DA, HRT216 SDA, HRT216K1 S3DA, HRT216K1 S3DA-A, HRT216K1 SDA, HRT216K1 SDA-A, HRT216K1 SDAA, HRT216K1 SDAA-A, HRT216K1 TDAA, HRT216K1 TDAA-A, HRT216K2 TDAA, HRZ216 TDAA
Genuine OEM Honda Part",Honda,
28,!awnmower tires without rims,1,B005O5Y3QI,us,E,1,1,train,Carlisle Turf Saver Lawn & Garden Tire - 15X6-6 A,,"Fit Type: Vehicle Specific
Enhanced durability with its broad-shouldered, puncture resistant construction",Carlisle Paddles,
29,!awnmower tires without rims,1,B0018TWDOI,us,E,1,1,train,Oregon 72-107 Universal Wheel 7X150 Diamond Plastic,,"7 x 1.50""
ID 1/2-Inch
Hub Is Offset Plastic
Hub Length Is 1 3/8-Inch
Tread Design: Diamond",Oregon,⭐️ Exclusive
34,!qscreen fence without holes,2,B07DHX8YH2,us,E,1,1,test,"Zippity Outdoor Products ZP19026 Lightweight Portable Vinyl Picket Fence Kit w/Metal Base(42"" H x 92"" W), White",,"Designed as a portable fence for temporary events
Rust-free metal bases are included; bases have small holes if you need to screw the base into wood or concrete (fence will stand on its own without screws)
This fence should not be used for serious crowd control or child or pet safety; it is designed to be used as a psychological or aesthetic barrier and not a physical one
Each panel includes a connector piece to attach to an adjacent panel in a straight line or at a right angle; this makes this fence fully scalable to add as many panels as you need for your event
Assembly required. Top Shape-Flat",Zippity Outdoor Products,White
39,!qscreen fence without holes,2,B07MFP4PPQ,us,E,1,1,test,"Sunnyglade 6 feet x 50 feet Privacy Screen Fence Heavy Duty Fencing Mesh Shade Net Cover for Wall Garden Yard Backyard (6 ft X 50 ft, Green)",,"Privacy Solution: Most economical way for privacy over chain link fence, porous decorative concealment, existing cyclone wire fence, wood retaining wall, welded wire fence, chain link fence, privacy barrier around swimming pool, block nose neighbor see through, add privacy to acre back yard backdrop, front yard, patio, garden and porch; hide street, road, construction site, pet kennel pen, block surrounding noise and street view, stops dogs from barking at neighbors.
High quality material: privacy fence screen is constructed of sun protected HDPE fabric with durable brass grommets on each side. The fence privacy screen measures exactly 6' x 50’.
Multifunction: There are lots of different ways to use, protection for vegetable garden plants, greenhouse covering, wind blocking for plant nursery area, window shades, tennis court, shades for pet pen / kennel, construction site, etc. Breathable weaving fabric allows water and air to go through freely, resistant to both sun and water, no maintenance needed.
More intensive grommets: Grommets are made of copper, more grommets are placed evenly along all edges, 11.8 inches apart vertically, 18.9 inches horizontally. All edges are covered with black reinforced 1.3"" binding. The grommets and bindings help the screen to hold up in the wind.
Easy to install: Use zip ties to fasten the grommets to the fence in each side. Our fence screen is equipped with denser grommets and 80 straps to keep the fence closer to your fence.",Sunnyglade,Green
41,!qscreen fence without holes,2,B07R3TNQDM,us,E,1,1,test,"Amgo 6' x 50' Black Fence Privacy Screen Windscreen,with Bindings & Grommets, Heavy Duty for Commercial and Residential, 90% Blockage, Cable Zip Ties Included, (Available for Custom Sizes)","<p><strong>Package Included:</strong></p> <p>1 - 6 x 50 fence privacy screen.</p> <p>1 - 80 pcs cable zip ties.</p> <p> </p> <p><strong>Specifications</strong></p> <p>★ Size: 6' x 50'</p> <p>★ Color: Black</p> <p>★ Fabric Material: High-density polyethylene, 0% recycled material, water & air permeable</p> <p>★ Blockage: 90%</p> <p>★ Finish: Black bindings & grommets all around, 1ft apart vertically, 2ft apart horizontally.</p> <p>★ Warranty: 3 years full warranty.</p> <p> </p> <p><strong>Why Choose Our Product?</strong></p> <p>✔ Quality</p> <p>✔ Price</p> <p>✔ Warranty</p> <p>✔ Hassle-free customer service and return</p>","Fence privacy screen fits perfectly on 6 ft fence, actual height is 5' 9"", cable zip ties are included for installation.
Edges are finished with heavy duty black bindings and stainless copper grommets, all stitching are reinforced, grommets are placed every 1 ft vertically, 2 ft horizontally, each corner has 4 grommets, easy to install with included cable zip ties.
90% blockage, great for privacy and allows water and airflow to pass through at the meantime, fabric is made of knitted virgin HDPE material.
Custom sizes are available, select size from drop-down or contact us for other colors & sizes, we are the manufacturer who is focusing on making quality and durable fence screen at low price.
3 years limited warranty under normal usage and weather.",Amgo,Black
